reference_group_id,group_type,n_raw,n_effective,excluded,availability,selection_criteria
RG-prompt_id=ARG11-timed_status=timed,prompt+timed,96,96,0,available,"{""prompt_id"": ""ARG11"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG11-timed_status=untimed,prompt+timed,60,60,0,available,"{""prompt_id"": ""ARG11"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG12,prompt,108,108,0,available,"{""prompt_id"": ""ARG12""}"
RG-prompt_id=ARG12-timed_status=timed,prompt+timed,26,26,0,unavailable,"{""prompt_id"": ""ARG12"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG12-timed_status=untimed,prompt+timed,82,82,0,available,"{""prompt_id"": ""ARG12"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG13,prompt,14,14,0,unavailable,"{""prompt_id"": ""ARG13""}"
RG-prompt_id=ARG13-timed_status=timed,prompt+timed,0,0,0,unavailable,"{""prompt_id"": ""ARG13"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG13-timed_status=untimed,prompt+timed,14,14,0,unavailable,"{""prompt_id"": ""ARG13"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG14,prompt,136,136,0,available,"{""prompt_id"": ""ARG14""}"
RG-prompt_id=ARG14-timed_status=timed,prompt+timed,24,24,0,unavailable,"{""prompt_id"": ""ARG14"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG14-timed_status=untimed,prompt+timed,112,112,0,available,"{""prompt_id"": ""ARG14"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG15,prompt,126,126,0,available,"{""prompt_id"": ""ARG15""}"
RG-prompt_id=ARG15-timed_status=timed,prompt+timed,22,22,0,unavailable,"{""prompt_id"": ""ARG15"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG15-timed_status=untimed,prompt+timed,104,104,0,available,"{""prompt_id"": ""ARG15"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG16,prompt,66,66,0,available,"{""prompt_id"": ""ARG16""}"
RG-prompt_id=ARG16-timed_status=timed,prompt+timed,27,27,0,unavailable,"{""prompt_id"": ""ARG16"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG16-timed_status=untimed,prompt+timed,39,39,0,available,"{""prompt_id"": ""ARG16"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG17,prompt,656,555,101,available,"{""prompt_id"": ""ARG17""}"
RG-prompt_id=ARG17-timed_status=timed,prompt+timed,509,408,101,available,"{""prompt_id"": ""ARG17"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG17-timed_status=untimed,prompt+timed,147,147,0,available,"{""prompt_id"": ""ARG17"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG18,prompt,43,43,0,available,"{""prompt_id"": ""ARG18""}"
RG-prompt_id=ARG18-timed_status=timed,prompt+timed,10,10,0,unavailable,"{""prompt_id"": ""ARG18"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG18-timed_status=untimed,prompt+timed,33,33,0,available,"{""prompt_id"": ""ARG18"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG19,prompt,18,18,0,unavailable,"{""prompt_id"": ""ARG19""}"
RG-prompt_id=ARG19-timed_status=timed,prompt+timed,1,1,0,unavailable,"{""prompt_id"": ""ARG19"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG19-timed_status=untimed,prompt+timed,17,17,0,unavailable,"{""prompt_id"": ""ARG19"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG20,prompt,32,32,0,available,"{""prompt_id"": ""ARG20""}"
RG-prompt_id=ARG20-timed_status=timed,prompt+timed,5,5,0,unavailable,"{""prompt_id"": ""ARG20"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG20-timed_status=untimed,prompt+timed,27,27,0,unavailable,"{""prompt_id"": ""ARG20"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG21,prompt,157,152,5,available,"{""prompt_id"": ""ARG21""}"
RG-prompt_id=ARG21-timed_status=timed,prompt+timed,79,74,5,available,"{""prompt_id"": ""ARG21"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG21-timed_status=untimed,prompt+timed,78,78,0,available,"{""prompt_id"": ""ARG21"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG22,prompt,165,165,0,available,"{""prompt_id"": ""ARG22""}"
RG-prompt_id=ARG22-timed_status=timed,prompt+timed,29,29,0,unavailable,"{""prompt_id"": ""ARG22"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG22-timed_status=untimed,prompt+timed,136,136,0,available,"{""prompt_id"": ""ARG22"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG23,prompt,391,379,12,available,"{""prompt_id"": ""ARG23""}"
RG-prompt_id=ARG23-timed_status=timed,prompt+timed,310,298,12,available,"{""prompt_id"": ""ARG23"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG23-timed_status=untimed,prompt+timed,81,81,0,available,"{""prompt_id"": ""ARG23"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG24,prompt,89,89,0,available,"{""prompt_id"": ""ARG24""}"
RG-prompt_id=ARG24-timed_status=timed,prompt+timed,1,1,0,unavailable,"{""prompt_id"": ""ARG24"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG24-timed_status=untimed,prompt+timed,88,88,0,available,"{""prompt_id"": ""ARG24"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG25,prompt,99,99,0,available,"{""prompt_id"": ""ARG25""}"
RG-prompt_id=ARG25-timed_status=timed,prompt+timed,5,5,0,unavailable,"{""prompt_id"": ""ARG25"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG25-timed_status=untimed,prompt+timed,94,94,0,available,"{""prompt_id"": ""ARG25"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG26,prompt,419,419,0,available,"{""prompt_id"": ""ARG26""}"
RG-prompt_id=ARG26-timed_status=timed,prompt+timed,419,419,0,available,"{""prompt_id"": ""ARG26"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG26-timed_status=untimed,prompt+timed,0,0,0,unavailable,"{""prompt_id"": ""ARG26"", ""timed_status"": ""untimed""}"
RG-prompt_id=EXP01,prompt,270,270,0,available,"{""prompt_id"": ""EXP01""}"
RG-prompt_id=EXP01-timed_status=timed,prompt+timed,270,270,0,available,"{""prompt_id"": ""EXP01"", ""timed_status"": ""timed""}"
RG-prompt_id=EXP01-timed_status=untimed,prompt+timed,0,0,0,unavailable,"{""prompt_id"": ""EXP01"", ""timed_status"": ""untimed""}"
RG-timed_status=timed,timed,2499,2381,118,available,"{""timed_status"": ""timed""}"
RG-timed_status=untimed,timed,2451,2449,2,available,"{""timed_status"": ""untimed""}"
