candidate_group_id,selection_definition,n,coverage,metadata_reliability,status,major_limitations,recommended_use,unsupported_inference
RG-weccl-prompt-ARG11-v0.1,prompt_id=ARG11,156,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG12-v0.1,prompt_id=ARG12,108,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG13-v0.1,prompt_id=ARG13,14,1.0,"high (100% header coverage, manual-verified counts)",TOO_SPARSE,duplicate/flagged documents inside group: 0; N=14 below conservative min-N=30,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG14-v0.1,prompt_id=ARG14,136,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG15-v0.1,prompt_id=ARG15,126,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG16-v0.1,prompt_id=ARG16,66,1.0,"high (100% header coverage, manual-verified counts)",PROMISING,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG17-v0.1,prompt_id=ARG17,656,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 202,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG18-v0.1,prompt_id=ARG18,43,1.0,"high (100% header coverage, manual-verified counts)",PROMISING,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG19-v0.1,prompt_id=ARG19,18,1.0,"high (100% header coverage, manual-verified counts)",TOO_SPARSE,duplicate/flagged documents inside group: 0; N=18 below conservative min-N=30,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG20-v0.1,prompt_id=ARG20,32,1.0,"high (100% header coverage, manual-verified counts)",PROMISING,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG21-v0.1,prompt_id=ARG21,157,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 10,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG22-v0.1,prompt_id=ARG22,165,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG23-v0.1,prompt_id=ARG23,391,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 25,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG24-v0.1,prompt_id=ARG24,89,1.0,"high (100% header coverage, manual-verified counts)",PROMISING,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG25-v0.1,prompt_id=ARG25,99,1.0,"high (100% header coverage, manual-verified counts)",PROMISING,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG26-v0.1,prompt_id=ARG26,419,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-EXP01-v0.1,prompt_id=EXP01,270,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-argumentative-v0.1,genre=argumentative,4680,1.0,high,READY_FOR_VALIDATION,duplicate/flagged documents inside group: 241,genre-level descriptive reference; prompt is a confound unless controlled,proficiency/mastery/learning-gain; prompt-free normative claims
RG-weccl-expository-v0.1,genre=expository,270,1.0,high,READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,genre-level descriptive reference; prompt is a confound unless controlled,proficiency/mastery/learning-gain; prompt-free normative claims
RG-weccl-timed_status-timed-v0.1,timed_status=timed,2499,1.0,high,READY_FOR_VALIDATION,duplicate/flagged documents inside group: 236,descriptive composition reporting; cross-condition comparison requires prompt/task control,proficiency/mastery/learning-gain; causal condition effects
RG-weccl-timed_status-untimed-v0.1,timed_status=untimed,2451,1.0,high,READY_FOR_VALIDATION,duplicate/flagged documents inside group: 5,descriptive composition reporting; cross-condition comparison requires prompt/task control,proficiency/mastery/learning-gain; causal condition effects
RG-weccl-major_type-english_major-v0.1,major_type=english_major,4359,1.0,high,READY_FOR_VALIDATION,duplicate/flagged documents inside group: 39,descriptive composition reporting; cross-condition comparison requires prompt/task control,proficiency/mastery/learning-gain; causal condition effects
RG-weccl-major_type-non_english_major-v0.1,major_type=non_english_major,591,1.0,high,READY_FOR_VALIDATION,duplicate/flagged documents inside group: 202,descriptive composition reporting; cross-condition comparison requires prompt/task control,proficiency/mastery/learning-gain; causal condition effects
RG-weccl-entry_year-2003-v0.1,entry_year=2003,68,1.0,high,PROMISING,duplicate/flagged documents inside group: 0,descriptive composition reporting; cross-condition comparison requires prompt/task control,proficiency/mastery/learning-gain; causal condition effects
RG-weccl-entry_year-2004-v0.1,entry_year=2004,307,1.0,high,READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,descriptive composition reporting; cross-condition comparison requires prompt/task control,proficiency/mastery/learning-gain; causal condition effects
RG-weccl-entry_year-2005-v0.1,entry_year=2005,1672,1.0,high,READY_FOR_VALIDATION,duplicate/flagged documents inside group: 34,descriptive composition reporting; cross-condition comparison requires prompt/task control,proficiency/mastery/learning-gain; causal condition effects
RG-weccl-entry_year-2006-v0.1,entry_year=2006,2450,1.0,high,READY_FOR_VALIDATION,duplicate/flagged documents inside group: 207,descriptive composition reporting; cross-condition comparison requires prompt/task control,proficiency/mastery/learning-gain; causal condition effects
RG-weccl-entry_year-2007-v0.1,entry_year=2007,453,1.0,high,READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,descriptive composition reporting; cross-condition comparison requires prompt/task control,proficiency/mastery/learning-gain; causal condition effects
RG-weccl-grade-1-v0.1,grade=1,1549,1.0,high,READY_FOR_VALIDATION,duplicate/flagged documents inside group: 207,descriptive composition reporting; cross-condition comparison requires prompt/task control,proficiency/mastery/learning-gain; causal condition effects
RG-weccl-grade-2-v0.1,grade=2,2172,1.0,high,READY_FOR_VALIDATION,duplicate/flagged documents inside group: 34,descriptive composition reporting; cross-condition comparison requires prompt/task control,proficiency/mastery/learning-gain; causal condition effects
RG-weccl-grade-3-v0.1,grade=3,1108,1.0,high,READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,descriptive composition reporting; cross-condition comparison requires prompt/task control,proficiency/mastery/learning-gain; causal condition effects
RG-weccl-grade-4-v0.1,grade=4,121,1.0,high,READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,descriptive composition reporting; cross-condition comparison requires prompt/task control,proficiency/mastery/learning-gain; causal condition effects
